YEAR,MONTH,BENE_GEO_LVL,BENE_STATE_ABRVTN,BENE_STATE_DESC,BENE_COUNTY_DESC,BENE_FIPS_CD,TOT_BENES,ORGNL_MDCR_BENES,MA_AND_OTH_BENES,AGED_TOT_BENES,AGED_ESRD_BENES,AGED_NO_ESRD_BENES,DSBLD_TOT_BENES,DSBLD_ESRD_AND_ESRD_ONLY_BENES,DSBLD_NO_ESRD_BENES,MALE_TOT_BENES,FEMALE_TOT_BENES,WHITE_TOT_BENES,BLACK_TOT_BENES,API_TOT_BENES,HSPNC_TOT_BENES,NATIND_TOT_BENES,OTHR_TOT_BENES,AGE_LT_25_BENES,AGE_25_TO_44_BENES,AGE_45_TO_64_BENES,AGE_65_TO_69_BENES,AGE_70_TO_74_BENES,AGE_75_TO_79_BENES,AGE_80_TO_84_BENES,AGE_85_TO_89_BENES,AGE_90_TO_94_BENES,AGE_GT_94_BENES,DUAL_TOT_BENES,FULL_DUAL_TOT_BENES,PART_DUAL_TOT_BENES,NODUAL_TOT_BENES,QMB_ONLY_BENES,QMB_PLUS_BENES,SLMB_ONLY_BENES,SLMB_PLUS_BENES,QDWI_QI_BENES,OTHR_FULL_DUAL_MDCD_BENES,A_B_TOT_BENES,A_B_ORGNL_MDCR_BENES,A_B_MA_AND_OTH_BENES,A_TOT_BENES,A_ORGNL_MDCR_BENES,A_MA_AND_OTH_BENES,B_TOT_BENES,B_ORGNL_MDCR_BENES,B_MA_AND_OTH_BENES,PRSCRPTN_DRUG_TOT_BENES,PRSCRPTN_DRUG_PDP_BENES,PRSCRPTN_DRUG_MAPD_BENES,PRSCRPTN_DRUG_DEEMED_ELIGIBLE_FULL_LIS_BENES,PRSCRPTN_DRUG_FULL_LIS_BENES,PRSCRPTN_DRUG_PARTIAL_LIS_BENES,PRSCRPTN_DRUG_NO_LIS_BENES
2013,Year,State,GA,Georgia,Total,13,"1,412,936","1,039,767","373,169","1,140,642","8,205","1,132,437","272,293","11,319","260,974","630,059","782,877","993,570","358,299","22,027","23,523",704,"14,812","3,154","53,642","215,497","382,995","295,850","198,391","133,314","81,544","36,296","12,253","286,841","138,372","148,468","1,126,095","79,969","17,230","40,876","3,153","27,623","117,990","1,298,852","926,467","372,384","1,397,656","1,025,271","372,385","1,314,131","940,963","373,168","956,868","601,382","355,485","296,402","46,439","14,572","599,454"
2013,Year,State,HI,Hawaii,Total,15,"229,717","124,439","105,278","205,778","1,519","204,259","23,939","1,594","22,346","105,707","124,009","64,230","2,020","121,386","15,350",222,"26,508",311,"5,105","18,523","61,641","47,313","33,475","27,974","21,361","10,454","3,560","34,569","30,404","4,164","195,148",244,"26,548","2,821",704,"1,099","3,153","202,671","97,438","105,233","229,151","123,915","105,236","203,237","97,962","105,275","158,874","58,924","99,951","36,281","4,359","1,208","117,027"
2013,Year,State,ID,Idaho,Total,16,"260,086","181,362","78,724","219,268",711,"218,558","40,818",797,"40,021","124,832","135,254","243,243",660,"1,817","9,002","2,157","3,207",669,"9,714","30,435","69,212","56,535","38,932","26,679","17,175","8,130","2,606","36,473","22,884","13,590","223,613","7,363","16,091","4,038","2,065","2,188","4,728","241,939","163,218","78,721","259,916","181,196","78,721","242,109","163,384","78,724","165,125","95,545","69,580","37,977","4,430","2,137","120,581"
2013,Year,State,IL,Illinois,Total,17,"1,984,102","1,762,949","221,153","1,691,879","10,522","1,681,357","292,223","9,471","282,751","881,201","1,102,901","1,523,779","260,681","49,412","120,705",854,"28,671","4,560","63,793","223,870","491,263","408,694","301,342","227,460","158,361","76,517","28,243","339,728","296,313","43,415","1,644,374","11,244","150,089","17,268","20,429","14,904","125,795","1,792,427","1,571,306","221,121","1,958,121","1,736,996","221,124","1,818,408","1,597,259","221,149","1,235,064","1,055,779","179,285","356,203","38,732","15,125","825,004"
2013,Year,State,IN,Indiana,Total,18,"1,094,334","860,772","233,563","898,396","4,738","893,658","195,938","4,797","191,141","490,361","603,973","978,671","79,132","6,321","17,702",520,"11,989","2,710","42,728","150,500","269,832","220,845","160,108","117,800","80,644","37,042","12,125","155,698","99,795","55,903","938,636","31,889","56,629","19,505","11,068","4,509","32,099","1,019,339","785,853","233,486","1,093,250","859,762","233,488","1,020,423","786,862","233,561","762,995","568,880","194,115","176,853","24,733","9,668","551,741"
2013,Year,State,IA,Iowa,Total,19,"549,041","471,338","77,703","473,799","1,744","472,054","75,243","1,452","73,790","246,723","302,318","524,224","9,230","3,378","5,805",713,"5,691","1,359","17,242","56,642","130,656","109,222","85,871","67,189","48,432","23,920","8,509","80,797","63,681","17,116","468,244","8,069","35,803","5,438","8,716","3,609","19,161","514,001","436,303","77,698","548,760","471,061","77,698","514,283","436,580","77,703","402,043","336,091","65,952","83,099","6,400","3,494","309,050"
2013,Year,State,KS,Kansas,Total,20,"465,899","406,533","59,366","394,217","1,592","392,625","71,682","1,699","69,983","210,229","255,670","417,468","22,521","4,644","13,642","2,602","5,021","1,256","15,959","54,466","113,987","91,804","69,526","55,010","38,263","19,030","6,598","63,188","39,813","23,375","402,711","12,064","23,842","7,291","2,742","4,021","13,230","430,118","370,767","59,351","464,878","405,527","59,351","431,139","371,773","59,366","314,300","259,644","54,656","67,078","8,327","3,847","235,048"
2013,Year,State,KY,Kentucky,Total,21,"826,457","636,238","190,219","622,179","2,968","619,210","204,279","3,016","201,263","383,353","443,104","763,226","48,735","3,272","4,288",305,"6,631","2,555","42,124","159,599","197,723","157,188","111,780","77,874","49,452","21,255","6,906","172,399","94,137","78,262","654,058","43,123","68,763","23,541","3,817","11,598","21,557","766,639","578,339","188,300","817,548","629,248","188,300","775,548","585,329","190,219","587,894","441,148","146,746","180,820","28,075","10,411","368,588"
2013,Year,State,LA,Louisiana,Total,22,"747,451","548,638","198,813","587,690","4,096","583,594","159,762","5,567","154,195","343,165","404,287","511,761","205,002","5,808","17,266",817,"6,798","2,568","34,540","122,654","183,888","146,856","105,461","75,269","47,606","20,235","8,374","194,754","104,166","90,588","552,698","46,517","84,478","27,115","4,733","16,956","14,954","695,442","496,643","198,799","746,073","547,266","198,807","696,820","498,015","198,806","525,135","333,013","192,123","195,361","15,897","7,334","306,544"
2013,Year,State,ME,Maine,Total,23,"291,099","238,803","52,296","232,326",634,"231,692","58,773",544,"58,229","136,047","155,052","282,176","1,180","1,218","1,348",819,"4,358",982,"14,168","43,623","71,419","56,450","40,569","30,612","20,602","9,601","3,073","92,864","52,005","40,859","198,234","26,931","44,656","8,567",696,"5,361","6,654","268,771","216,488","52,284","289,811","237,527","52,284","270,059","217,763","52,296","198,926","149,541","49,385","96,848",945,307,"100,826"
